Town,State/Province,County,Count,Latitude,Longitude
Roanoke,VA,ROANOKE CITY,90,37.3,-80.0
Roanoke,VA,SALEM,20,37.3,-80.0
Robbinsville,NC,GRAHAM,12,35.4,-83.9
Robertsdale,AL,BALDWIN,5,30.5,-87.6
Robertsville,MO,FRANKLIN,4,38.4,-90.9
Robins,IA,LINN,1,42.1,-91.7
Roca,NE,LANCASTER,2,40.6,-96.7
Rockbridge,OH,HOCKING,1,39.6,-82.5
Rockfield,KY,WARREN,5,36.9,-86.6
Rockford,IL,WINNEBAGO,10,42.3,-89.0
Rockledge,FL,BREVARD,6,28.3,-80.7
Rocklin,CA,PLACER,2,38.8,-121.3
Rockport,TX,ARANSAS,96,28.1,-97.0
Rocksprings,TX,EDWARDS,1,30.0,-100.2
Rockwall,TX,ROCKWALL,6,32.8,-96.5
Rockwood,TN,ROANE,9,35.9,-84.7
Rocky Mount,NC,EDGECOMBE,9,36.0,-77.7
Rocky Mount,NC,NASH,9,36.0,-77.7
Rolla,MO,PHELPS,3,37.9,-91.8
Rolling Meadows,IL,COOK,2,42.1,-88.0
Rome,GA,FLOYD,1,34.2,-85.2
Roseville,CA,PLACER,1,38.7,-121.3
Rossville,KS,SHAWNEE,1,39.1,-95.9
Round Rock,TX,WILLIAMSON,80,30.5,-97.7
Rowlett,TX,DALLAS,3,32.9,-96.6
Roxana,IL,MADISON,21,38.8,-90.0
Roxbury,CT,LITCHFIELD,2,41.5,-73.3
Sabinsville,PA,TIOGA,4,41.9,-77.6
Sacramento,CA,SACRAMENTO,63,38.7,-121.3
Salado,TX,BELL,10,30.9,-97.5
Salem,NH,ROCKINGHAM,4,42.8,-71.2
Salisbury,NC,ROWAN,96,35.6,-80.5
Salt Lake City,UT,SALT LAKE,400,40.8,-111.9
San Angelo,TX,TOM GREEN,12,31.4,-100.4
San Antonio,TX,BEXAR,1856,29.5,-98.5
San Antonio,TX,COMAL,174,29.5,-98.5
San Benito,TX,CAMERON,11,26.1,-97.6
San Diego,CA,SAN DIEGO,380,32.9,-117.2
San Jose,CA,SANTA CLARA,18,37.3,-121.9
San Leandro,CA,ALAMEDA,7,37.7,-122.1
Sand Springs,OK,TULSA,18,36.1,-96.3
Sandy,UT,SALT LAKE,10,40.6,-111.9
Sanibel,FL,LEE,2,26.4,-82.0
Santa Cruz,CA,SANTA CRUZ,28,37.0,-122.0
Santa Fe,NM,SANTA FE,16,35.7,-106.0
Santa Maria,CA,SANTA BARBARA,10,35.0,-120.4
Santa Rosa,CA,SONOMA,4,38.5,-122.8
Santa Rosa Beach,FL,WALTON,20,30.4,-86.3
Santee,SC,ORANGEBURG,30,33.5,-80.5
Sapphire,NC,TRANSYLVANIA,2,35.1,-83.0
Satellite Beach,FL,BREVARD,6,28.2,-80.6
Sauk Centre,MN,STEARNS,12,45.7,-95.0
Sausalito,CA,MARIN,45,37.9,-122.5
Savannah,GA,CHATHAM,290,32.1,-81.1
Sayre,PA,BRADFORD,3,42.0,-76.5
Schaumburg,IL,COOK,12,42.0,-88.1
Schenectady,NY,SCHENECTADY,13,42.8,-73.8
Schertz,TX,GUADALUPE,57,29.6,-98.3
Schwenksville,PA,MONTGOMERY,5,40.3,-75.5
Scottsdale,AZ,MARICOPA,8,33.6,-111.9
Scottsville,VA,ALBEMARLE,1,37.8,-78.5
Scurry,TX,KAUFMAN,4,32.5,-96.4
Sea Girt,NJ,MONMOUTH,4,40.1,-74.1
Searsmont,ME,WALDO,1,44.3,-69.1
Secaucus,NJ,HUDSON,9,40.8,-74.1
Seguin,TX,GUADALUPE,4,29.5,-98.0
Seneca,SC,OCONEE,1,34.7,-83.0
Seymour,CT,NEW HAVEN,1,41.4,-73.1
Seymour,TN,SEVIER,2,35.9,-83.7
Seymour,WI,OUTAGAMIE,4,44.5,-88.4
Shakopee,MN,SCOTT,14,44.8,-93.5
Shawnee,KS,JOHNSON,36,39.0,-94.7
Shelby,MI,OCEANA,3,43.6,-86.5
Shelby,NC,CLEVELAND,6,35.2,-81.7
Shiner,TX,LAVACA,5,29.5,-97.1
Shingle Springs,CA,EL DORADO,4,38.6,-121.0
Shrewsbury,NJ,MONMOUTH,14,40.3,-74.0
Sierra Vista,AZ,COCHISE,4,31.5,-110.3
Simpsonville,SC,GREENVILLE,26,34.7,-82.3
Sioux City,IA,WOODBURY,4,42.5,-96.4
Sioux Falls,SD,LINCOLN,2,43.5,-96.8
Sioux Falls,SD,MINNEHAHA,16,43.5,-96.8
Slidell,LA,SAINT TAMMANY,10,30.3,-89.8
Smithfield,PA,FAYETTE,4,39.8,-79.8
Smithtown,NY,SUFFOLK,4,40.9,-73.3
Smithville,MS,MONROE,2,34.1,-88.4
Smyrna,TN,RUTHERFORD,1,36.0,-86.5
Sneads Ferry,NC,ONSLOW,165,34.6,-77.3
Somerset,WI,SAINT CROIX,1,45.1,-92.7
Soperton,GA,TREUTLEN,1,32.4,-82.6
South Bend,IN,ST JOSEPH,28,41.6,-86.3
South Lake Tahoe,CA,EL DORADO,36,38.9,-120.0
South Padre Island,TX,CAMERON,21,26.1,-97.2
South Portland,ME,CUMBERLAND,44,43.6,-70.2
South Shore,KY,GREENUP,2,38.7,-83.0
Southampton,PA,BUCKS,3,40.2,-75.0
Southern Pines,NC,MOORE,6,35.2,-79.4
Southfield,MI,OAKLAND,12,42.5,-83.3
Southgate,MI,WAYNE,5,42.2,-83.2
Southlake,TX,TARRANT,3,32.9,-97.2
Southport,ME,LINCOLN,2,43.8,-69.7
Spartanburg,SC,SPARTANBURG,3,34.9,-81.9
Spencer,OK,OKLAHOMA,2,35.6,-97.4
Spring City,PA,CHESTER,1,40.2,-75.6
Spring Hill,TN,MAURY,6,35.8,-86.9
Spring Lake,MI,OTTAWA,2,43.1,-86.2
Springdale,AR,WASHINGTON,4,36.2,-94.2
Springfield,IL,SANGAMON,148,39.8,-89.7
Springfield,MO,GREENE,204,37.2,-93.3
Springfield,PA,DELAWARE,1,39.9,-75.3
Starkville,MS,OKTIBBEHA,28,33.5,-88.8
State College,PA,CENTRE,5,40.8,-77.9
Statesboro,GA,BULLOCH,4,32.5,-81.7
Statham,GA,BARROW,1,33.9,-83.6
Staunton,VA,STAUNTON CITY,30,38.2,-79.1
Stearns,KY,MCCREARY,4,36.8,-84.6
Steinhatchee,FL,TAYLOR,2,29.7,-83.4
Sterling,UT,SANPETE,1,39.2,-111.7
Sterling,VA,LOUDOUN,3,39.0,-77.4
Sterling Heights,MI,MACOMB,48,42.6,-83.0
Stevens Point,WI,PORTAGE,66,44.5,-89.5
Stockton,CA,SAN JOAQUIN,14,38.0,-121.3
Stockton,NJ,HUNTERDON,1,40.4,-74.9
Stonewall,TX,GILLESPIE,4,30.2,-98.5
Stonington,CT,NEW LONDON,60,41.3,-71.9
Story,WY,SHERIDAN,1,44.6,-106.9
Stoughton,WI,DANE,2,43.0,-89.2
Stowe,VT,LAMOILLE,9,44.5,-72.7
Strasburg,VA,SHENANDOAH,3,39.0,-78.3
Strawberry,CA,TUOLUMNE,4,37.9,-122.5
Streamwood,IL,COOK,1,42.0,-88.2
Stroudsburg,PA,MONROE,1,41.0,-75.2
Sturbridge,MA,WORCESTER,1,42.1,-72.1
Stuyvesant,NY,COLUMBIA,10,42.4,-73.7
Sulphur,OK,MURRAY,4,34.5,-97.0
Summerfield,FL,MARION,20,29.0,-82.0
Summerton,SC,CLARENDON,20,33.5,-80.3
Sun City,AZ,MARICOPA,1,33.7,-112.3
Sunbury,OH,DELAWARE,1,40.2,-82.8
Surprise,AZ,MARICOPA,3,33.6,-112.4
Swampscott,MA,ESSEX,1,42.5,-70.9
Sycamore,IL,DEKALB,1,42.0,-88.7
Syracuse,NY,ONONDAGA,50,43.0,-76.3
Tahlequah,OK,CHEROKEE,9,35.9,-95.0
Talking Rock,GA,PICKENS,12,34.6,-84.5
Tallahassee,FL,LEON,36,30.6,-84.2
Tallassee,AL,ELMORE,1,32.5,-86.0
Tamworth,NH,CARROLL,9,43.8,-71.3
Tanner,AL,LIMESTONE,6,34.7,-87.0
Tawas City,MI,IOSCO,2,44.3,-83.5
Taylor,TX,WILLIAMSON,60,30.6,-97.5
Taylorville,IL,CHRISTIAN,78,39.5,-89.2
Teaneck,NJ,BERGEN,24,40.9,-74.0
Tell City,IN,PERRY,9,38.0,-86.8
Temecula,CA,RIVERSIDE,2,33.5,-117.1
Tempe,AZ,MARICOPA,16,33.4,-111.9
Temperance,MI,MONROE,1,41.7,-83.6
Temple,TX,BELL,64,31.1,-97.3
Terre Haute,IN,VIGO,86,39.5,-87.3
Thornton,CO,ADAMS,10,39.9,-105.0
Thousand Oaks,CA,VENTURA,3,34.2,-118.9
Tipton,OK,TILLMAN,3,34.5,-99.1
Tiverton,RI,NEWPORT,5,41.6,-71.2
Tivoli,TX,REFUGIO,1,28.5,-96.8
Tomball,TX,HARRIS,3,30.0,-95.6
Toms River,NJ,OCEAN,48,40.0,-74.2
Topanga,CA,LOS ANGELES,2,34.1,-118.6
Topeka,KS,SHAWNEE,10,39.2,-95.6
Townsend,TN,BLOUNT,40,35.6,-83.8
Trappe,MD,TALBOT,2,38.7,-76.1
Travelers Rest,SC,GREENVILLE,2,35.0,-82.4
Trevor,WI,KENOSHA,1,42.5,-88.2
Trinity,NC,RANDOLPH,1,35.9,-80.0
Trout Lake,MI,CHIPPEWA,2,46.2,-85.1
Trumbull,CT,FAIRFIELD,1,41.2,-73.2
Tryon,NC,POLK,10,35.2,-82.3
Tuckerton,NJ,OCEAN,27,39.6,-74.3
Tucson,AZ,PIMA,380,32.2,-110.8
Tulsa,OK,CREEK,213,36.0,-95.9
Tulsa,OK,TULSA,1704,36.0,-95.9
Tuttle,OK,GRADY,7,35.3,-97.7
Tybee Island,GA,CHATHAM,6,32.0,-80.8
Tyler,TX,SMITH,80,32.3,-95.3
Ukiah,CA,MENDOCINO,5,39.2,-123.2
Ullin,IL,PULASKI,8,37.3,-89.2
Umatilla,FL,LAKE,4,29.0,-81.7
Union,MO,FRANKLIN,18,38.4,-91.0
Union,WV,MONROE,4,37.6,-80.6
Urbana,IL,CHAMPAIGN,61,40.1,-88.2
Urbandale,IA,POLK,12,41.6,-93.7
Utica,NY,ONEIDA,8,43.1,-75.2
Vacaville,CA,SOLANO,2,38.4,-121.9
Valley Center,KS,SEDGWICK,2,37.8,-97.4
Valley Ford,CA,SONOMA,9,38.4,-122.9
Valmeyer,IL,MONROE,8,38.3,-90.3
Van Buren,OH,HANCOCK,1,41.1,-83.6
Vandalia,IL,FAYETTE,4,39.0,-89.2
Vanderpool,TX,BANDERA,2,29.8,-99.6
Vero Beach,FL,INDIAN RIVER,20,27.7,-80.5
Verona,MO,LAWRENCE,1,37.0,-93.8
Versailles,IL,BROWN,7,39.9,-90.7
Vesta,VA,PATRICK,4,36.7,-80.4
Vienna,VA,FAIRFAX,30,38.9,-77.3
Vonore,TN,MONROE,2,35.6,-84.2
Waco,TX,MCLENNAN,39,31.6,-97.2
Waconia,MN,CARVER,2,44.8,-93.8
Wading River,NY,SUFFOLK,39,40.9,-72.8
Wake Forest,NC,WAKE,14,36.0,-78.5
Walland,TN,BLOUNT,4,35.8,-83.8
Walton,KS,HARVEY,9,38.2,-97.3
Wamego,KS,POTTAWATOMIE,20,39.3,-96.3
Wanaque,NJ,PASSAIC,4,41.0,-74.3
Wappingers Falls,NY,DUTCHESS,20,41.5,-74.0
Warner Robins,GA,HOUSTON,60,32.6,-83.6
Warren,MI,MACOMB,2,42.5,-83.1
Warsaw,IN,KOSCIUSKO,3,41.3,-85.7
Warsaw,VA,RICHMOND,21,38.0,-76.9
Warwick,NY,ORANGE,2,41.2,-74.4
Washington,MI,MACOMB,4,42.7,-83.0
Washington,NC,BEAUFORT,6,35.6,-77.0
Washington,VA,RAPPAHANNOCK,2,38.7,-78.2
Washington Court House,OH,FAYETTE,20,39.5,-83.4
Waterville,ME,KENNEBEC,3,44.5,-69.6
Watervliet,NY,ALBANY,3,42.8,-73.7
Watsonville,CA,SANTA CRUZ,14,37.0,-121.7
Waukee,IA,DALLAS,1,41.6,-93.9
Waupaca,WI,WAUPACA,2,44.4,-89.1
Wausau,WI,MARATHON,2,45.0,-89.6
Wausaukee,WI,MARINETTE,3,45.4,-88.0
Wautoma,WI,WAUSHARA,1,44.0,-89.3
Waynesboro,PA,FRANKLIN,112,39.8,-77.6
Waynesville,NC,HAYWOOD,52,35.5,-83.0
Waynesville,OH,WARREN,48,39.5,-84.1
Weaubleau,MO,HICKORY,11,37.9,-93.4
Webb City,MO,JASPER,12,37.2,-94.5
Webster,TX,HARRIS,4,29.6,-95.1
Weimar,TX,COLORADO,3,29.7,-96.8
Wellington,FL,PALM BEACH,70,26.7,-80.3
Wendell,NC,WAKE,4,35.8,-78.4
Wentzville,MO,SAINT CHARLES,3,38.8,-90.8
Wernersville,PA,BERKS,16,40.3,-76.1
West Harrison,IN,DEARBORN,2,39.2,-84.8
West Hartford,CT,HARTFORD,10,41.7,-72.8
West Lafayette,IN,TIPPECANOE,4,40.4,-86.9
West Palm Beach,FL,PALM BEACH,456,26.8,-80.0
Westbrook,CT,MIDDLESEX,2,41.3,-72.4
Westerly,RI,WASHINGTON,15,41.3,-71.8
Westfield,PA,TIOGA,8,41.9,-77.6
Westfield,WI,MARQUETTE,1,43.9,-89.5
Westhampton Beach,NY,SUFFOLK,42,40.8,-72.6
Westminster,CO,ADAMS,3,39.9,-105.1
Westport,CT,FAIRFIELD,20,41.1,-73.3
Westport,MA,BRISTOL,4,41.5,-71.0
Westwego,LA,JEFFERSON,18,30.0,-90.3
Wexford,PA,ALLEGHENY,1,40.6,-80.1
Wheatland,MO,HICKORY,8,37.9,-93.4
Wheeling,WV,OHIO,18,40.0,-80.7
White Plains,NY,WESTCHESTER,6,41.0,-73.8
Whitney,TX,HILL,3,31.9,-97.3
Whitsett,NC,GUILFORD,4,36.1,-79.6
Wichita,KS,SEDGWICK,516,37.7,-97.3
Wildwood,NJ,CAPE MAY,440,39.0,-74.8
Willard,MO,GREENE,5,37.4,-93.4
Williamsport,PA,LYCOMING,27,41.2,-77.1
Williamston,SC,ANDERSON,4,34.7,-82.6
Williamstown,MA,BERKSHIRE,12,42.7,-73.2
Willis,TX,MONTGOMERY,12,30.4,-95.6
Willmar,MN,KANDIYOHI,2,45.1,-95.1
Willoughby,OH,LAKE,6,41.6,-81.4
Willowbrook,IL,DUPAGE,16,41.8,-87.9
Wilmington,MA,MIDDLESEX,1,42.5,-71.2
Wilmington,NC,NEW HANOVER,7,34.1,-77.9
Wilson,NC,WILSON,2,35.7,-77.9
Wimberley,TX,HAYS,3,30.0,-98.1
Winchendon,MA,WORCESTER,2,42.7,-72.0
Winchester,KY,CLARK,2,38.0,-84.2
Winchester,VA,FREDERICK,12,39.2,-78.2
Winchester,VA,WINCHESTER CITY,6,39.2,-78.2
Windsor Heights,IA,POLK,8,41.6,-93.7
Windsor Locks,CT,HARTFORD,2,41.9,-72.6
Winter Harbor,ME,HANCOCK,3,44.3,-68.1
Winthrop,MA,SUFFOLK,4,42.4,-71.0
Wood River,NE,HALL,20,40.8,-98.5
Woodbine,MD,HOWARD,1,39.3,-77.1
Woodland,AL,RANDOLPH,3,33.4,-85.3
Woodland,CA,YOLO,4,38.7,-121.8
Woodstock,GA,CHEROKEE,60,34.2,-84.4
Woonsocket,RI,PROVIDENCE,1,42.0,-71.5
Wooster,OH,WAYNE,1,40.8,-82.0
Worcester,MA,WORCESTER,6,42.3,-71.8
Wylie,TX,COLLIN,6,33.0,-96.6
Wynnewood,PA,MONTGOMERY,3,40.0,-75.3
Wyoming,IL,STARK,4,41.1,-89.8
Wyoming,MI,KENT,6,42.9,-85.7
Yellow Springs,OH,GREENE,4,39.8,-83.9
Yonkers,NY,WESTCHESTER,44,40.9,-73.9
York,PA,YORK,372,39.9,-76.7
Yukon,OK,CANADIAN,22,35.5,-97.8
