City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Milam,TX,sabine,2018-03-22,31.5,-93.8,2018,3,22,Spring,125,,
San Antonio,TX,bexar,2018-03-22,29.5,-98.5,2018,3,22,Spring,192,54.0,65.6805555
Richmond,TX,fortbend,2018-03-22,29.5,-95.6,2018,3,22,Spring,12,,
Eastpoint,FL,franklin,2018-03-22,29.7,-84.9,2018,3,22,Spring,4,,
Houston,TX,harris,2018-03-22,30.0,-95.6,2018,3,22,Spring,86,64.0,63.89215682352942
Apalachicola,FL,franklin,2018-03-22,29.7,-85.0,2018,3,22,Spring,2,,
Lillian,AL,baldwin,2018-03-22,30.4,-87.4,2018,3,22,Spring,1,44.0,
San Antonio,TX,comal,2018-03-22,29.5,-98.5,2018,3,22,Spring,18,,
Dallas,TX,dallas,2018-03-23,32.9,-96.9,2018,3,23,Spring,23,54.0,68.4483334
Slidell,LA,sainttammany,2018-03-23,30.3,-89.8,2018,3,23,Spring,2,,
Dallas,TX,collin,2018-03-23,32.9,-96.9,2018,3,23,Spring,2,44.0,67.166667
Houston,TX,harris,2018-03-23,30.0,-95.6,2018,3,23,Spring,43,55.0,69.74754888235294
Saint Marks,FL,wakulla,2018-03-23,30.2,-84.2,2018,3,23,Spring,5,57.0,55.666667
Crawfordville,FL,wakulla,2018-03-23,30.2,-84.3,2018,3,23,Spring,12,57.0,55.666667
Montgomery,TX,montgomery,2018-03-23,30.4,-95.8,2018,3,23,Spring,18,64.0,67.75
Houston,TX,fortbend,2018-03-23,30.0,-95.6,2018,3,23,Spring,1,,
Brownsville,TX,cameron,2018-03-23,25.9,-97.5,2018,3,23,Spring,36,53.0,74.263889
Gause,TX,milam,2018-03-23,30.7,-96.7,2018,3,23,Spring,1,,68.458333
Texarkana,AR,miller,2018-03-24,33.5,-94.0,2018,3,24,Spring,1,,
Ormond Beach,FL,volusia,2018-03-24,29.3,-81.1,2018,3,24,Spring,2,74.0,61.625
Gatesville,TX,coryell,2018-03-24,31.4,-97.7,2018,3,24,Spring,15,,
Crawfordville,FL,wakulla,2018-03-24,30.2,-84.3,2018,3,24,Spring,6,71.0,61.416667
Dallas,TX,collin,2018-03-24,32.9,-96.9,2018,3,24,Spring,6,43.0,72.645833
Dallas,TX,dallas,2018-03-24,32.9,-96.9,2018,3,24,Spring,69,53.0,73.4433332
Driftwood,TX,hays,2018-03-24,30.1,-98.0,2018,3,24,Spring,3,,
Orange Beach,AL,baldwin,2018-03-24,30.3,-87.6,2018,3,24,Spring,1,54.0,
Corpus Christi,TX,nueces,2018-03-24,27.8,-97.4,2018,3,24,Spring,5,55.0,74.59375
China Spring,TX,mclennan,2018-03-24,31.7,-97.3,2018,3,24,Spring,1,36.0,73.791667
Stonewall,LA,desoto,2018-03-24,32.3,-93.8,2018,3,24,Spring,2,,
Nacogdoches,TX,nacogdoches,2018-03-25,31.6,-94.6,2018,3,25,Spring,6,,
Idabel,OK,mccurtain,2018-03-25,33.9,-94.8,2018,3,25,Spring,17,,
Flagler Beach,FL,flagler,2018-03-25,29.5,-81.1,2018,3,25,Spring,8,47.0,
Cypress,TX,harris,2018-03-25,30.0,-95.7,2018,3,25,Spring,1,63.0,73.125
Montgomery,TX,montgomery,2018-03-25,30.4,-95.8,2018,3,25,Spring,14,55.0,72.0
Sealy,TX,austin,2018-03-25,29.8,-96.2,2018,3,25,Spring,4,,
Ozan,AR,hempstead,2018-03-25,33.8,-93.8,2018,3,25,Spring,36,,
Walnut,CA,losangeles,2018-03-25,34.0,-117.9,2018,3,25,Spring,5,55.0,54.49702371428572
San Benito,TX,cameron,2018-03-25,26.1,-97.5,2018,3,25,Spring,165,64.0,76.486111
Mandeville,LA,sainttammany,2018-03-25,30.4,-90.1,2018,3,25,Spring,3,,
Ormond Beach,FL,volusia,2018-03-25,29.4,-81.1,2018,3,25,Spring,1,53.0,69.5
Lonsdale,AR,garland,2018-03-26,34.5,-92.8,2018,3,26,Spring,2,,
McKinney,TX,collin,2018-03-26,33.2,-96.7,2018,3,26,Spring,3,41.0,74.16666649999999
Jacksonville,FL,duval,2018-03-26,30.4,-81.6,2018,3,26,Spring,22,52.0,
Arkadelphia,AR,clark,2018-03-26,34.2,-93.2,2018,3,26,Spring,14,36.0,
Montgomery,TX,montgomery,2018-03-26,30.4,-95.8,2018,3,26,Spring,11,57.0,73.0
Allen,TX,collin,2018-03-26,33.1,-96.7,2018,3,26,Spring,9,41.0,74.16666649999999
Garden Grove,CA,orange,2018-03-26,33.8,-117.9,2018,3,26,Spring,1,44.0,57.79791675
Dallas,TX,collin,2018-03-26,32.9,-96.9,2018,3,26,Spring,6,41.0,74.16666649999999
Sealy,TX,austin,2018-03-26,29.8,-96.2,2018,3,26,Spring,4,,
Lockesburg,AR,sevier,2018-03-26,33.8,-94.1,2018,3,26,Spring,14,,
