Town,State/Province,County,Count,Latitude,Longitude,FIPS
cleburne,TX,johnson,6,32.3,-97.5,48251.0
clemson,SC,pickens,30,34.7,-82.8,45077.0
cleveland,GA,white,1,34.7,-83.5,13311.0
cleveland,OH,cuyahoga,128,41.5,-81.7,39035.0
clifford,ND,traill,4,47.4,-97.4,38097.0
clifton,NJ,passaic,4,40.8,-74.2,34031.0
clinton,CT,middlesex,18,41.3,-72.5,9007.0
clinton,MS,hinds,6,32.4,-90.3,28049.0
clinton,OH,summit,1,40.9,-81.6,39153.0
cloverdale,CA,sonoma,3,38.8,-123.0,6097.0
clovis,NM,curry,3,34.5,-103.3,35009.0
clyde,TX,callahan,4,32.3,-99.5,48059.0
cocoa beach,FL,brevard,1,28.3,-80.6,12009.0
coffeyville,KS,montgomery,2,37.1,-95.6,20125.0
colbert,GA,madison,1,34.0,-83.2,13195.0
cold spring,NY,putnam,4,41.5,-73.9,36079.0
college grove,TN,williamson,3,35.8,-86.7,47187.0
collegeville,PA,montgomery,12,40.2,-75.4,42091.0
colorado springs,CO,el paso,72,38.8,-104.8,8041.0
columbia,KY,adair,36,37.1,-85.2,21001.0
columbia,MD,howard,2,39.2,-76.8,24027.0
columbia,MO,boone,22,38.9,-92.2,29019.0
columbia,SC,lexington,69,33.8,-81.0,45063.0
columbia,SC,richland,1150,33.8,-81.0,45079.0
columbus,OH,delaware,11,40.1,-83.0,39041.0
columbus,OH,franklin,297,40.1,-83.0,39049.0
comfort,TX,kendall,2,30.0,-98.7,48259.0
commerce,GA,banks,1,34.2,-83.4,13011.0
commerce,GA,jackson,2,34.2,-83.4,13157.0
comstock,TX,val verde,12,30.0,-101.4,48465.0
concord,CA,contra costa,4,38.0,-122.0,6013.0
concord,NC,cabarrus,5,35.4,-80.5,37025.0
concord,NH,merrimack,20,43.1,-71.5,33013.0
conesville,OH,coshocton,1,40.2,-81.9,39031.0
conneaut lake,PA,crawford,45,41.6,-80.3,42039.0
connellsville,PA,fayette,8,40.0,-79.6,42051.0
conroe,TX,montgomery,98,30.3,-95.4,48339.0
conway,MO,laclede,1,37.5,-92.7,29105.0
conyers,GA,rockdale,3,33.7,-84.0,13247.0
copan,OK,washington,5,36.9,-95.9,40147.0
copperas cove,TX,coryell,10,31.3,-98.1,48099.0
coram,NY,suffolk,13,40.9,-73.0,36103.0
corinth,MS,alcorn,12,34.9,-88.6,28003.0
cornwall,NY,orange,21,41.4,-74.0,36071.0
corolla,NC,currituck,5,36.3,-75.8,37053.0
corpus christi,TX,nueces,20,27.8,-97.4,48355.0
corrales,NM,sandoval,3,35.2,-106.6,35043.0
cortland,NY,cortland,144,42.6,-76.2,36023.0
cortlandt manor,NY,westchester,4,41.3,-73.9,36119.0
cosmos,MN,meeker,1,45.0,-94.7,27093.0
covina,CA,los angeles,8,34.1,-117.9,6037.0
covington,LA,st. tammany,15,30.5,-90.1,
crawfordville,FL,wakulla,3,30.2,-84.4,12129.0
cross village,MI,emmet,11,45.6,-85.0,26047.0
crowley,LA,acadia,1,30.2,-92.4,
crystal lake,IL,mchenry,28,42.2,-88.3,17111.0
crystal river,FL,citrus,4,29.0,-82.6,12017.0
cub run,KY,hart,25,37.3,-86.1,21099.0
cuba,MO,crawford,1,38.1,-91.4,29055.0
culver city,CA,los angeles,2,34.0,-118.4,6037.0
cumming,GA,forsyth,5,34.2,-84.2,13117.0
currie,MN,murray,1,44.1,-95.7,27101.0
currie,NC,pender,4,34.4,-78.1,37141.0
cypress,TX,harris,3,30.0,-95.7,48201.0
dahlonega,GA,lumpkin,6,34.6,-84.0,13187.0
dallas,TX,collin,74,32.8,-96.8,48085.0
dallas,TX,dallas,851,32.8,-96.8,48113.0
dalton,GA,whitfield,28,34.8,-84.9,13313.0
dalton,OH,wayne,1,40.7,-81.7,39169.0
danbury,CT,fairfield,4,41.4,-73.5,9001.0
danville,IL,vermilion,9,40.1,-87.6,17183.0
darien,CT,fairfield,24,41.1,-73.5,9001.0
darien,IL,dupage,1,41.8,-88.0,17043.0
dauphin,PA,dauphin,170,40.4,-76.9,42043.0
davenport,FL,polk,3,28.2,-81.6,12105.0
davis,CA,yolo,4,38.6,-121.8,6113.0
dayton,OH,greene,13,39.8,-84.2,39057.0
dayton,OH,montgomery,31,39.8,-84.2,39113.0
de berry,TX,panola,6,32.2,-94.1,48365.0
de leon,TX,comanche,12,32.1,-98.6,48093.0
dearborn,MI,wayne,9,42.3,-83.2,26163.0
dearing,GA,mcduffie,3,33.4,-82.4,13189.0
decatur,GA,dekalb,6,33.8,-84.3,13089.0
deep gap,NC,watauga,64,36.2,-81.5,37189.0
deer park,WI,st. croix,1,45.2,-92.3,55109.0
defiance,OH,defiance,20,41.3,-84.4,39039.0
dekalb,IL,dekalb,1,41.9,-88.8,17037.0
delhi,NY,delaware,5,42.2,-75.0,36025.0
dell rapids,SD,minnehaha,1,43.8,-96.8,46099.0
delray beach,FL,palm beach,4,26.5,-80.1,12099.0
denison,TX,grayson,18,33.7,-96.5,48181.0
dennison,OH,tuscarawas,13,40.4,-81.3,39157.0
denton,TX,denton,12,33.2,-97.1,48121.0
denver,CO,adams,24,39.8,-105.0,8001.0
denver,CO,arapahoe,6,39.8,-105.0,8005.0
denver,CO,denver,81,39.8,-105.0,8031.0
denver,CO,jefferson,15,39.8,-105.0,8059.0
denver city,TX,yoakum,13,33.0,-102.8,48501.0
deridder,LA,beauregard,1,30.8,-93.2,
derry,NH,rockingham,2,42.9,-71.3,33015.0
derry,PA,westmoreland,1,40.4,-79.3,42129.0
des moines,IA,polk,252,41.6,-93.6,19153.0
descanso,CA,san diego,1,32.9,-116.6,6073.0
desert center,CA,riverside,3,34.0,-116.3,6065.0
destin,FL,okaloosa,68,30.4,-86.5,12091.0
detroit,MI,wayne,144,42.3,-83.1,26163.0
dickinson,TX,galveston,2,29.5,-95.0,48167.0
dinuba,CA,tulare,12,36.5,-119.4,6107.0
dobbin,TX,montgomery,106,30.4,-95.8,48339.0
dobson,NC,surry,12,36.4,-80.7,37171.0
donalds,SC,abbeville,15,34.4,-82.4,45001.0
douglasville,GA,douglas,1,33.8,-84.8,13097.0
dover,DE,kent,40,39.1,-75.5,10001.0
dover,FL,hillsborough,3,28.0,-82.2,12057.0
doylestown,PA,bucks,4,40.3,-75.1,42017.0
driftwood,TX,hays,5,30.1,-98.0,48209.0
dripping springs,TX,hays,8,30.3,-98.1,48209.0
dubuque,IA,dubuque,44,42.5,-90.7,19061.0
duluth,MN,st. louis,49,47.1,-91.9,27137.0
duncan,OK,stephens,30,34.5,-97.8,40137.0
durant,OK,bryan,38,34.0,-96.4,40013.0
durham,NC,durham,20,36.0,-78.9,37063.0
dysart,IA,tama,10,42.2,-92.4,19171.0
eagle bay,NY,herkimer,12,43.8,-75.0,36043.0
eagle pass,TX,maverick,2,28.5,-100.5,48323.0
eagleville,PA,montgomery,15,40.1,-75.3,42091.0
east hampton,CT,middlesex,2,41.6,-72.5,9007.0
east haven,CT,new haven,2,41.3,-72.9,9009.0
east liverpool,OH,columbiana,54,40.7,-80.6,39029.0
east meadow,NY,nassau,8,40.7,-73.6,36059.0
east taunton,MA,bristol,1,41.9,-71.0,25005.0
eastham,MA,barnstable,2,41.8,-70.0,25001.0
easthampton,MA,hampshire,200,42.3,-72.7,25015.0
eastlake,OH,lake,20,41.7,-81.5,39085.0
eau claire,WI,eau claire,3,44.8,-91.5,55035.0
edgecomb,ME,lincoln,2,44.0,-69.6,23015.0
edmond,OK,oklahoma,54,35.7,-97.6,40109.0
el dorado,CA,el dorado,2,38.6,-120.9,6017.0
el paso,TX,el paso,13,31.8,-106.5,48141.0
elbow lake,MN,grant,4,46.0,-96.0,27051.0
eldora,IA,hardin,7,42.3,-93.1,19083.0
elephant butte,NM,sierra,12,33.2,-107.2,35051.0
elgin,IL,kane,20,42.0,-88.2,17089.0
elgin,TX,bastrop,21,30.3,-97.4,48021.0
elizabeth,NJ,union,8,40.7,-74.2,34039.0
elk rapids,MI,antrim,3,44.9,-85.4,26009.0
ellicott city,MD,howard,10,39.3,-76.9,24027.0
elmhurst,IL,dupage,4,41.9,-87.9,17043.0
elon,NC,alamance,4,36.2,-79.5,37001.0
emmaus,PA,lehigh,3,40.5,-75.5,42077.0
englewood,FL,charlotte,231,27.0,-82.3,12015.0
englewood,FL,sarasota,231,27.0,-82.3,12115.0
ephrata,PA,lancaster,10,40.2,-76.2,42071.0
erie,CO,boulder,6,40.1,-105.1,8013.0
essex,MD,baltimore,12,39.3,-76.5,24005.0
essex junction,VT,chittenden,6,44.5,-73.1,50007.0
etowah,NC,henderson,2,35.3,-82.6,37089.0
eureka,KS,greenwood,4,37.8,-96.3,20073.0
evansville,IN,vanderburgh,12,38.0,-87.6,18163.0
excelsior springs,MO,clay,12,39.3,-94.2,29047.0
fair haven,VT,rutland,6,43.7,-73.3,50021.0
fairborn,OH,greene,15,39.8,-84.0,39057.0
fairfax,MN,renville,8,44.5,-94.7,27129.0
fairfield,NE,clay,1,40.4,-98.1,31035.0
fairhope,AL,baldwin,4,30.5,-87.9,1003.0
fairport,NY,monroe,7,43.1,-77.4,36055.0
falls church,VA,fairfax,14,38.9,-77.2,51059.0
falls church,VA,falls church city,2,38.9,-77.2,51610.0
fayetteville,AR,washington,8,36.0,-94.1,5143.0
fayetteville,NY,onondaga,3,43.0,-76.0,36067.0
fayetteville,WV,fayette,120,38.0,-81.0,54019.0
fincastle,VA,botetourt,2,37.5,-79.9,51023.0
flemington,NJ,hunterdon,1,40.5,-74.9,34019.0
flint,MI,genesee,13,43.0,-83.7,26049.0
flippin,AR,marion,20,36.2,-92.5,5089.0
floresville,TX,wilson,1,29.2,-98.2,48493.0
florien,LA,sabine,10,31.4,-93.5,
florissant,MO,st. louis,18,38.8,-90.3,29189.0
flower mound,TX,denton,6,33.0,-97.1,48121.0
fonda,IA,pocahontas,2,42.6,-94.8,19151.0
fordyce,AR,dallas,10,33.9,-92.5,5039.0
forest city,IA,winnebago,5,43.3,-93.6,19189.0
forest park,IL,cook,1,41.9,-87.8,17031.0
forestville,NY,chautauqua,1,42.4,-79.1,36013.0
fort collins,CO,larimer,6,40.6,-105.1,8069.0
fort montgomery,NY,orange,8,41.3,-74.0,36071.0
fort morgan,CO,morgan,2,40.3,-103.8,8087.0
fort myers,FL,lee,32,26.6,-81.9,12071.0
fort payne,AL,dekalb,15,34.4,-85.7,1049.0
fort scott,KS,bourbon,3,37.8,-94.7,20011.0
fort smith,AR,sebastian,4,35.4,-94.4,5131.0
fort walton beach,FL,okaloosa,42,30.4,-86.6,12091.0
fort wayne,IN,allen,33,41.1,-85.2,18003.0
fort worth,TX,tarrant,665,32.8,-97.5,48439.0
fox lake,WI,dodge,1,43.6,-88.9,55027.0
fox river grove,IL,mchenry,3,42.2,-88.2,17111.0
frankfort,IL,will,1,41.5,-87.8,17197.0
franklin,IN,johnson,5,39.5,-86.1,18081.0
franklin,KY,simpson,7,36.7,-86.6,21213.0
franklin,NC,macon,14,35.2,-83.4,37113.0
franklin,TN,williamson,12,35.9,-86.9,47187.0
franklin,WI,milwaukee,1,42.9,-88.0,55079.0
fraser,MI,macomb,1,42.5,-82.9,26099.0
frederick,MD,frederick,7,39.4,-77.4,24021.0
fredericksburg,TX,gillespie,11,30.3,-98.9,48171.0
