Town,State/Province,County,Count,Latitude,Longitude,FIPS
charlottesville,VA,albemarle,76,38.0,-78.5,51003.0
charlottesville,VA,charlottesville city,171,38.0,-78.5,51540.0
charlton,MA,worcester,1,42.1,-71.9,25027.0
chaska,MN,carver,20,44.8,-93.6,27019.0
chatham,MA,barnstable,8,41.7,-70.0,25001.0
chattanooga,TN,hamilton,322,35.1,-85.3,47065.0
cheboygan,MI,cheboygan,1,45.7,-84.6,26031.0
chelsea,AL,shelby,1,33.3,-86.6,1117.0
chelsea,OK,rogers,48,36.5,-95.4,40131.0
chelsea,VT,orange,1,44.0,-72.4,50017.0
cherokee,TX,san saba,53,31.0,-98.7,48411.0
cherry tree,PA,indiana,9,40.7,-78.8,42063.0
chesapeake,VA,chesapeake city,63,36.9,-76.4,51550.0
chester,CT,middlesex,1,41.4,-72.4,9007.0
chester,VA,chesterfield,6,37.4,-77.4,51041.0
chester,VT,windsor,22,43.3,-72.6,50027.0
chesterfield,MO,st. louis,120,38.6,-90.6,29189.0
chestertown,MD,kent,103,39.2,-76.1,24029.0
chestertown,MD,queen annes,206,39.2,-76.1,
chicago,IL,cook,8178,42.0,-87.7,17031.0
chicopee,MA,hampden,6,42.2,-72.6,25013.0
chillicothe,OH,ross,5,39.4,-83.0,39141.0
chilmark,MA,dukes,3,41.3,-70.7,25007.0
chilton,WI,calumet,22,44.0,-88.3,55015.0
china,TX,jefferson,2,30.0,-94.3,48245.0
china grove,NC,rowan,4,35.6,-80.6,37159.0
chincoteague island,VA,accomack,14,38.0,-75.3,51001.0
chloe,WV,calhoun,4,38.7,-81.1,54013.0
choctaw,OK,oklahoma,3,35.5,-97.3,40109.0
christmas,FL,orange,5,28.6,-81.0,12095.0
