city,state,county,count
Laurel,MD,PRINCE GEORGES,1
Lawrence,KS,DOUGLAS,4
Lawrence Township,NJ,MERCER,1
Lawrenceville,GA,GWINNETT,1
Le Claire,IA,SCOTT,1
Le Roy,NY,GENESEE,1
Le Sueur,MN,LE SUEUR,2
League City,TX,GALVESTON,1
Leander,TX,WILLIAMSON,1
Lecanto,FL,CITRUS,1
Leeds,ME,ANDROSCOGGIN,1
Lehi,UT,UTAH,1
Lenhartsville,PA,BERKS,1
Leonia,NJ,BERGEN,1
Lewes,DE,SUSSEX,3
Lewisburg,PA,UNION,2
Lexington,KY,FAYETTE,5
Lexington,VA,LEXINGTON CITY,1
Lincoln,NE,LANCASTER,2
Lincolnville,ME,WALDO,3
Lisbon,IA,LINN,1
Lisle,IL,DUPAGE,1
Little Cedar,IA,MITCHELL,3
Little Falls,NJ,PASSAIC,1
Little Silver,NJ,MONMOUTH,1
Livonia,MI,WAYNE,3
Lockport,NY,NIAGARA,3
Lone Oak,TX,HUNT,1
Long Beach,CA,LOS ANGELES,2
Long Lake,NY,HAMILTON,1
Lorain,OH,LORAIN,8
Los Angeles,CA,LOS ANGELES,5
Louisville,KY,JEFFERSON,4
Lower Salem,OH,WASHINGTON,1
Loyal,WI,CLARK,2
Lubec,ME,WASHINGTON,1
Lunenburg,MA,WORCESTER,1
Lusby,MD,CALVERT,3
Lyman,SC,SPARTANBURG,1
Lyons,NE,BURT,6
Mabel,MN,FILLMORE,1
Mableton,GA,COBB,1
Macon,MO,MACON,1
Madison,CT,NEW HAVEN,1
Madison,WI,DANE,23
Madrid,IA,BOONE,1
Malvern,IA,MILLS,2
Manchester,IA,DELAWARE,1
Manchester,MI,WASHTENAW,1
Manchester,NH,HILLSBOROUGH,1
Manheim,PA,LANCASTER,1
Manistee,MI,MANISTEE,4
Mankato,MN,BLUE EARTH,1
Mansfield,TX,TARRANT,2
Manton,MI,WEXFORD,1
Mapleton,ND,CASS,5
Maquoketa,IA,JACKSON,1
Marcellus,NY,ONONDAGA,1
Margaretville,NY,DELAWARE,1
Marietta,GA,COBB,3
Marietta,OH,WASHINGTON,1
Marilla,NY,ERIE,1
Marion,IN,GRANT,1
Marion,NY,WAYNE,1
Mars,PA,BUTLER,0
Marshall,MN,LYON,2
Marshall,VA,FAUQUIER,2
Martinsville,IN,MORGAN,1
Martinsville,VA,MARTINSVILLE CITY,1
Mary Esther,FL,OKALOOSA,1
Marysville,PA,PERRY,2
Mason City,IA,CERRO GORDO,1
Massapequa,NY,NASSAU,5
Mattapoisett,MA,PLYMOUTH,1
Mayville,MI,TUSCOLA,1
Mayville,WI,DODGE,1
Mead,OK,BRYAN,1
Mechanicsville,VA,HANOVER,1
Medford,NJ,BURLINGTON,1
Medford,OR,JACKSON,4
Media,PA,DELAWARE,1
Melbourne,FL,BREVARD,2
Menard,TX,MENARD,1
Menifee,CA,RIVERSIDE,3
Menomonee Falls,WI,WAUKESHA,1
Menomonie,WI,DUNN,1
Mentor,OH,LAKE,1
Mequon,WI,OZAUKEE,1
Mercer,WI,IRON,3
Meriden,KS,JEFFERSON,1
Meridian,ID,ADA,1
Meridianville,AL,MADISON,1
Merrick,NY,NASSAU,1
Merryville,LA,BEAUREGARD,1
Mesilla,NM,DONA ANA,1
Mesquite,TX,DALLAS,1
Metairie,LA,JEFFERSON,3
Miami,FL,MIAMI-DADE,5
Middleton,ID,CANYON,2
Middleton,WI,DANE,1
Middletown,DE,NEW CASTLE,2
Middletown,MD,FREDERICK,2
Midlothian,TX,ELLIS,1
Midway,FL,GADSDEN,1
Mifflinburg,PA,UNION,1
Milbank,SD,GRANT,1
Milford,MA,WORCESTER,1
Millersville,MD,ANNE ARUNDEL,1
Millinocket,ME,PENOBSCOT,3
Milton,DE,SUSSEX,1
Milton,NH,STRAFFORD,1
Milwaukee,WI,MILWAUKEE,6
Mineola,TX,WOOD,2
Minneapolis,MN,HENNEPIN,14
Minnetonka,MN,HENNEPIN,1
Missoula,MT,MISSOULA,1
Missouri City,TX,FORT BEND,1
Mize,KY,MORGAN,2
Mocksville,NC,DAVIE,1
Mokena,IL,WILL,1
Monee,IL,WILL,1
Monett,MO,BARRY,3
Monmouth Beach,NJ,MONMOUTH,4
Monroe,CT,FAIRFIELD,1
Monroe,LA,OUACHITA,2
Monroe,NC,UNION,1
Monroe,NY,ORANGE,1
Monterey,VA,HIGHLAND,1
Montevideo,MN,CHIPPEWA,1
Montgomery,TX,MONTGOMERY,3
Montgomery Village,MD,MONTGOMERY,1
Montpelier,VT,WASHINGTON,1
Mooreland,OK,WOODWARD,1
Mooresville,IN,MORGAN,1
Moorhead,MN,CLAY,1
Moose Lake,MN,CARLTON,1
Moravia,NY,CAYUGA,1
Morganton,NC,BURKE,1
Morris,OK,OKMULGEE,1
Morrisonville,NY,CLINTON,1
Morton,IL,TAZEWELL,1
Morton Grove,IL,COOK,1
Moselle,MS,JONES,1
Mounds,OK,CREEK,2
Mundelein,IL,LAKE,2
Munster,IN,LAKE,2
Murray,KY,CALLOWAY,1
Murrells Inlet,SC,HORRY,4
Muskegon,MI,MUSKEGON,1
Myrtle Beach,SC,HORRY,0
Naperville,IL,DUPAGE,3
Naples,FL,COLLIER,1
Nashua,NH,HILLSBOROUGH,2
National City,MI,IOSCO,1
Neenah,WI,WINNEBAGO,2
Nevada,MO,VERNON,1
New Bern,NC,CRAVEN,1
New Braunfels,TX,COMAL,3
New Cumberland,PA,CUMBERLAND,1
New Germany,MN,CARVER,1
New Glarus,WI,GREEN,1
New Haven,CT,NEW HAVEN,1
New Holstein,WI,CALUMET,1
New Iberia,LA,IBERIA,1
New Kensington,PA,WESTMORELAND,1
New London,NH,MERRIMACK,1
New Orleans,LA,ORLEANS,2
New Richmond,WI,SAINT CROIX,1
New York,NY,NEW YORK,2
Newark,DE,NEW CASTLE,2
Newberg,OR,YAMHILL,1
Newburgh,IN,WARRICK,2
Newburgh,NY,ORANGE,1
Newbury,MA,ESSEX,1
Newcastle,WY,WESTON,1
Newport,KY,CAMPBELL,1
Newport,PA,PERRY,1
Newport,VT,ORLEANS,1
Newport News,VA,NEWPORT NEWS CITY,0
Newton,MA,MIDDLESEX,1
Newton,NC,CATAWBA,6
Newton,NJ,SUSSEX,1
Nicholasville,KY,JESSAMINE,1
Noblesville,IN,HAMILTON,1
Norfolk,VA,NORFOLK CITY,2
Norman,OK,CLEVELAND,7
Norristown,PA,MONTGOMERY,1
North East,PA,ERIE,4
North Fort Myers,FL,LEE,1
North Little Rock,AR,PULASKI,1
North Reading,MA,MIDDLESEX,0
North Tonawanda,NY,NIAGARA,1
North Versailles,PA,ALLEGHENY,1
Northborough,MA,WORCESTER,1
Northbrook,IL,COOK,1
Northfield,MN,RICE,1
