City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Panama City Beach,FL,BAY,2015-03-02,30.2,-85.8,2015,3,2,Spring,10
Longwood,FL,SEMINOLE,2015-03-02,28.7,-81.3,2015,3,2,Spring,3
Loxahatchee,FL,PALM BEACH,2015-03-03,26.8,-80.4,2015,3,3,Spring,6
Melbourne,FL,BREVARD,2015-03-04,28.1,-80.6,2015,3,4,Spring,11
Christiansted,VI,SAINT CROIX,2015-03-04,17.8,-64.8,2015,3,4,Spring,2
Holmes Beach,FL,MANATEE,2015-03-06,27.5,-82.7,2015,3,6,Spring,3
San Diego,CA,SAN DIEGO,2015-03-08,32.7,-117.2,2015,3,8,Spring,20
Tallahassee,FL,LEON,2015-03-09,30.5,-84.3,2015,3,9,Spring,12
Marco Island,FL,COLLIER,2015-03-15,25.9,-81.7,2015,3,15,Spring,1
Toms River,NJ,OCEAN,2015-05-02,40.0,-74.2,2015,5,2,Spring,8
Burlington,IA,DES MOINES,2015-05-04,40.9,-91.1,2015,5,4,Spring,2
Houston,TX,FORT BEND,2015-05-28,29.8,-95.4,2015,5,28,Spring,1
Houston,TX,HARRIS,2015-05-28,29.8,-95.4,2015,5,28,Spring,43
Trumbull,CT,FAIRFIELD,2015-06-04,41.3,-73.2,2015,6,4,Summer,4
La Grange Park,IL,COOK,2015-06-06,41.8,-87.9,2015,6,6,Summer,9
Jacksonville,OR,JACKSON,2015-06-11,42.2,-123.1,2015,6,11,Summer,2
Menomonie,WI,DUNN,2015-06-14,44.7,-91.8,2015,6,14,Summer,4
Forest Grove,OR,WASHINGTON,2015-06-15,45.6,-123.2,2015,6,15,Summer,3
Springfield,KY,WASHINGTON,2015-06-15,37.7,-85.3,2015,6,15,Summer,10
Bellefonte,PA,CENTRE,2015-06-20,40.9,-77.8,2015,6,20,Summer,80
Birmingham,MI,OAKLAND,2015-06-21,42.5,-83.2,2015,6,21,Summer,2
Mosier,OR,WASCO,2015-06-24,45.6,-121.3,2015,6,24,Summer,1
Crystal River,FL,CITRUS,2015-06-24,29.0,-82.6,2015,6,24,Summer,1
fayetteville,AR,WASHINGTON,2015-06-25,36.0,-94.1,2015,6,25,Summer,2
New Berlin,WI,WAUKESHA,2015-06-25,43.0,-88.2,2015,6,25,Summer,1
Morgantown,WV,MONONGALIA,2015-06-29,39.6,-80.0,2015,6,29,Summer,16
BURLINGTON,CT,HARTFORD,2015-06-30,41.8,-73.0,2015,6,30,Summer,2
IDAHO FALLS,ID,BONNEVILLE,2015-07-01,43.5,-111.9,2015,7,1,Summer,32
Minneapolis,MN,ANOKA,2015-07-01,45.0,-93.3,2015,7,1,Summer,12
McAllen,TX,HIDALGO,2015-07-01,26.2,-98.2,2015,7,1,Summer,5
Mer Rouge,LA,MOREHOUSE,2015-07-01,32.8,-91.7,2015,7,1,Summer,1
Moline,IL,ROCK ISLAND,2015-07-01,41.5,-90.5,2015,7,1,Summer,2
Minneapolis,MN,HENNEPIN,2015-07-01,45.0,-93.3,2015,7,1,Summer,31
Picabo,ID,BLAINE,2015-07-02,43.3,-114.1,2015,7,2,Summer,2
