city,state,county,count,FIPS,cleaned_county
Durham,CT,MIDDLESEX,1,9007,MIDDLESEX
Durham,NH,STRAFFORD,1,33017,STRAFFORD
Dutch John,UT,DAGGETT,1,49009,DAGGETT
Dysart,IA,TAMA,2,19171,TAMA
Eagle Point,OR,JACKSON,1,41029,JACKSON
Eagle River,WI,VILAS,1,55125,VILAS
East Greenbush,NY,RENSSELAER,1,36083,RENSSELAER
East Hartford,CT,HARTFORD,2,9003,HARTFORD
East Haven,CT,NEW HAVEN,1,9009,NEW HAVEN
East Jordan,MI,CHARLEVOIX,1,26029,CHARLEVOIX
East Rockaway,NY,NASSAU,2,36059,NASSAU
Easthampton,MA,HAMPSHIRE,1,25015,HAMPSHIRE
Easton,MD,TALBOT,0,24041,TALBOT
Easton,PA,NORTHAMPTON,3,42095,NORTHAMPTON
Eastpointe,MI,MACOMB,1,26099,MACOMB
Eaton Rapids,MI,EATON,1,26045,EATON
Eau Claire,WI,EAU CLAIRE,3,55035,EAU CLAIRE
Edgerton,WI,ROCK,1,55105,ROCK
Edinburg,TX,HIDALGO,2,48215,HIDALGO
Edmond,OK,OKLAHOMA,3,40109,OKLAHOMA
Edwardsburg,MI,CASS,1,26027,CASS
Effingham,NH,CARROLL,0,33003,CARROLL
Egg Harbor City,NJ,ATLANTIC,2,34001,ATLANTIC
El Cajon,CA,SAN DIEGO,1,6073,SAN DIEGO
El Paso,TX,EL PASO,1,48141,EL PASO
El Reno,OK,CANADIAN,1,40017,CANADIAN
Elizabethtown,PA,LANCASTER,1,42071,LANCASTER
Elk River,MN,SHERBURNE,1,27141,SHERBURNE
Elmhurst,IL,DUPAGE,4,17043,DUPAGE
Elmira,NY,CHEMUNG,1,36015,CHEMUNG
Elmore City,OK,GARVIN,1,40049,GARVIN
Elyria,OH,LORAIN,1,39093,LORAIN
Emigrant,MT,PARK,1,30067,PARK
Empire,MI,LEELANAU,2,26089,LEELANAU
Englewood,NJ,BERGEN,2,34003,BERGEN
Enid,OK,GARFIELD,1,40047,GARFIELD
Enterprise,AL,COFFEE,0,1031,COFFEE
Erwin,TN,UNICOI,1,47171,UNICOI
Evanston,IL,COOK,2,17031,COOK
Eveleth,MN,ST. LOUIS,1,27137,ST. LOUIS
Exeter,NH,ROCKINGHAM,2,33015,ROCKINGHAM
Fair Lawn,NJ,BERGEN,1,34003,BERGEN
Fair Oaks,CA,SACRAMENTO,1,6067,SACRAMENTO
Fairbury,IL,LIVINGSTON,1,17105,LIVINGSTON
Fairfax,VA,FAIRFAX CITY,1,51600,FAIRFAX CITY
Fairfax,VT,CHITTENDEN,1,50007,CHITTENDEN
