Town,State/Province,County,Count,Latitude,Longitude,FIPS,Count_Normalized
bloomsburg,PA,columbia,649,41.0,-76.4,42037.0,0.007807322979794937
blossom,TX,lamar,1,33.6,-95.4,48277.0,0.0
blossvale,NY,oneida,6,43.3,-75.6,36065.0,6.024168965891155e-05
blue bell,PA,montgomery,136,40.2,-75.3,42091.0,0.001626525620790612
blue mounds,WI,dane,3,43.0,-89.8,55025.0,2.4096675863564622e-05
blue point,NY,suffolk,1,40.7,-73.0,36103.0,0.0
blue ridge,GA,fannin,1,34.8,-84.3,13111.0,0.0
blue ridge,VA,botetourt,5,37.3,-79.7,51023.0,4.8193351727129245e-05
blue springs,MO,jackson,3,39.0,-94.3,29095.0,2.4096675863564622e-05
bluff dale,TX,erath,4,32.3,-98.0,48143.0,3.614501379534693e-05
bluffton,OH,allen,6,40.9,-83.9,39003.0,6.024168965891155e-05
bluffton,SC,beaufort,24,32.2,-80.8,45013.0,0.00027711177243099316
blythe,GA,richmond,2,33.2,-82.1,13245.0,1.2048337931782311e-05
blythewood,SC,richland,4,34.1,-81.0,45079.0,3.614501379534693e-05
boca raton,FL,palm beach,90,26.3,-80.1,12099.0,0.0010723020759286256
boerne,TX,kendall,510,29.7,-98.7,48259.0,0.006132604007277196
bogart,GA,oconee,4,33.9,-83.5,13219.0,3.614501379534693e-05
boiceville,NY,ulster,3,42.0,-74.3,36111.0,2.4096675863564622e-05
boiling springs,SC,spartanburg,3,35.0,-82.0,45083.0,2.4096675863564622e-05
boise,ID,ada,30,43.6,-116.3,16001.0,0.000349401800021687
bokeelia,FL,lee,6,26.7,-82.1,12071.0,6.024168965891155e-05
bolivia,NC,brunswick,10,33.9,-78.2,37019.0,0.0001084350413860408
bolton landing,NY,warren,62,43.6,-73.6,36113.0,0.000734948613838721
bon aqua,TN,hickman,3,36.0,-87.3,47081.0,2.4096675863564622e-05
bon secour,AL,baldwin,1,30.3,-87.7,1003.0,0.0
bonham,TX,fannin,3,33.6,-96.2,48147.0,2.4096675863564622e-05
bonita springs,FL,lee,10,26.4,-81.8,12071.0,0.0001084350413860408
boone,NC,watauga,91,36.2,-81.6,37189.0,0.001084350413860408
boones mill,VA,franklin,1,37.1,-79.9,51067.0,0.0
boonton,NJ,morris,50,40.9,-74.4,34027.0,0.0005903685586573333
bossier city,LA,bossier,3,32.4,-93.7,,2.4096675863564622e-05
boston,MA,suffolk,220,42.3,-71.1,25025.0,0.002638586007060326
boswell,OK,choctaw,6,34.0,-95.8,40023.0,6.024168965891155e-05
boulder,CO,boulder,48,40.1,-105.3,8013.0,0.0005662718827937686
boulder,UT,garfield,2,37.4,-111.7,49017.0,1.2048337931782311e-05
bourbonnais,IL,kankakee,22,41.2,-87.9,17091.0,0.0002530150965674285
bowie,MD,prince georges,85,38.9,-76.7,,0.001012060386269714
bowling green,OH,wood,6,41.4,-83.7,39173.0,6.024168965891155e-05
boyds,MD,montgomery,1,39.2,-77.3,24031.0,0.0
boynton beach,FL,palm beach,486,26.5,-80.1,12099.0,0.005843443896914421
brackettville,TX,kinney,100,29.3,-100.4,48271.0,0.0011927854552464489
