City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season,AQI,Temp_Mean
Houston,TX,harris,2021-02-09,29.7,-95.4,2021,2,9,43,Winter,70.0,65.1565821111111
Dade City,FL,pasco,2021-02-09,28.4,-82.2,2021,2,9,6,Winter,19.0,
Edinburg,TX,hidalgo,2021-02-09,26.3,-98.2,2021,2,9,24,Winter,74.0,72.75
Fulton,TX,aransas,2021-02-09,28.1,-97.0,2021,2,9,2,Winter,,
Humble,TX,harris,2021-02-09,30.0,-95.4,2021,2,9,24,Winter,70.0,65.1565821111111
Houston,TX,fortbend,2021-02-09,29.7,-95.4,2021,2,9,1,Winter,,
West Palm Beach,FL,palmbeach,2021-02-09,26.7,-80.1,2021,2,9,24,Winter,42.0,
Gulf Shores,AL,baldwin,2021-02-09,30.3,-87.7,2021,2,9,1,Winter,42.0,
North Fort Myers,FL,lee,2021-02-09,26.7,-81.9,2021,2,9,16,Winter,43.0,72.583333
Orlando,FL,brevard,2021-02-09,28.5,-81.2,2021,2,9,3,Winter,45.0,69.791667
Baton Rouge,LA,eastbatonrouge,2021-02-09,30.4,-91.0,2021,2,9,17,Winter,45.0,67.1583335
Orlando,FL,orange,2021-02-09,28.5,-81.2,2021,2,9,23,Winter,23.0,
Corpus Christi,TX,nueces,2021-02-10,27.8,-97.4,2021,2,10,5,Winter,58.0,67.44791675
West Palm Beach,FL,palmbeach,2021-02-10,26.7,-80.1,2021,2,10,24,Winter,25.0,
Edinburg,TX,hidalgo,2021-02-10,26.3,-98.2,2021,2,10,6,Winter,66.0,75.217391
Largo,FL,pinellas,2021-02-10,27.9,-82.8,2021,2,10,4,Winter,44.0,71.625
Thousand Oaks,CA,ventura,2021-02-11,34.2,-118.9,2021,2,11,3,Winter,57.0,52.861413
West Palm Beach,FL,palmbeach,2021-02-11,26.6,-80.1,2021,2,11,24,Winter,39.0,
Pembroke Pines,FL,broward,2021-02-11,26.0,-80.3,2021,2,11,5,Winter,46.0,75.6891664
Boynton Beach,FL,palmbeach,2021-02-11,26.5,-80.1,2021,2,11,18,Winter,39.0,
Summerfield,FL,marion,2021-02-12,29.0,-82.0,2021,2,12,1,Winter,51.0,
Orlando,FL,brevard,2021-02-13,28.5,-81.4,2021,2,13,15,Winter,51.0,72.25
Orlando,FL,orange,2021-02-13,28.5,-81.4,2021,2,13,115,Winter,21.0,
Tampa,FL,hillsborough,2021-02-13,28.0,-82.5,2021,2,13,28,Winter,53.0,73.083333
West Palm Beach,FL,palmbeach,2021-02-13,26.6,-80.1,2021,2,13,24,Winter,49.0,
Vero Beach,FL,indianriver,2021-02-14,27.8,-80.4,2021,2,14,5,Winter,28.0,
West Palm Beach,FL,palmbeach,2021-02-14,26.6,-80.1,2021,2,14,24,Winter,47.0,
Coral Springs,FL,broward,2021-02-14,26.3,-80.3,2021,2,14,2,Winter,56.0,79.2733334
Palm Beach Gardens,FL,palmbeach,2021-02-14,26.9,-80.1,2021,2,14,7,Winter,47.0,
Hollywood,FL,broward,2021-02-15,26.0,-80.2,2021,2,15,110,Winter,61.0,79.3566666
Garden Grove,CA,orange,2021-02-15,33.8,-118.0,2021,2,15,1,Winter,55.0,55.15625
Ocala,FL,marion,2021-02-15,29.2,-82.1,2021,2,15,2,Winter,47.0,
La Mirada,CA,losangeles,2021-02-16,33.9,-118.0,2021,2,16,4,Winter,57.0,57.693808999999995
