City,State/Province,County,Count,Latitude,Longitude
bruneau,ID,OWYHEE,8,42.9,-115.7
brunswick,GA,GLYNN,32,31.2,-81.6
brunswick,ME,CUMBERLAND,90,43.9,-70.0
brunswick,OH,MEDINA,2,41.2,-81.8
brusly,LA,WEST BATON ROUGE,1,30.4,-91.2
bryan,TX,BRAZOS,392,30.6,-96.4
buchanan,TN,HENRY,1,36.4,-88.1
buckeye,WV,POCAHONTAS,1,38.2,-80.1
buckhorn,NM,GRANT,2,32.8,-108.6
buda,TX,HAYS,300,30.0,-97.8
budd lake,NJ,MORRIS,8,40.9,-74.8
buena park,CA,ORANGE,6,33.9,-118.0
buffalo,MO,DALLAS,34,37.5,-93.2
buffalo,NY,ERIE,9282,43.0,-78.8
buffalo,WY,JOHNSON,2,44.3,-106.7
buffalo gap,SD,CUSTER,1,43.6,-103.5
buffalo grove,IL,LAKE,1,42.2,-88.0
buford,GA,GWINNETT,60,34.1,-84.0
bullard,TX,SMITH,30,32.1,-95.4
bulverde,TX,COMAL,8,29.8,-98.4
bunn,NC,FRANKLIN,3,36.0,-78.2
bunnell,FL,FLAGLER,4,29.5,-81.3
burbank,CA,LOS ANGELES,91,34.2,-118.3
burbank,IL,COOK,3,41.7,-87.8
burbank,OH,WAYNE,4,41.0,-82.0
burkburnett,TX,WICHITA,17,34.1,-98.6
burke,VA,FAIRFAX,8,38.8,-77.3
burkesville,KY,CUMBERLAND,7,36.6,-85.3
burleson,TX,JOHNSON,732,32.6,-97.3
burlington,CT,HARTFORD,20,41.8,-73.0
burlington,KY,BOONE,24,39.0,-84.7
burlington,VT,CHITTENDEN,63,44.5,-73.3
burlington,WI,RACINE,5,42.7,-88.3
burnet,TX,BURNET,28,30.6,-98.3
burnt hills,NY,SARATOGA,2,42.9,-73.9
bush,LA,SAINT TAMMANY,2,30.6,-90.0
butler,KY,PENDLETON,120,38.8,-84.3
butler,NJ,MORRIS,6,41.0,-74.4
butler,PA,BUTLER,4,40.9,-79.7
buzzards bay,MA,BARNSTABLE,6,41.8,-70.6
byhalia,MS,MARSHALL,1,35.0,-89.6
cabot,AR,LONOKE,7,35.0,-92.0
caddo,OK,BRYAN,3,34.2,-96.3
cadiz,KY,TRIGG,14,36.9,-87.8
cairo,WV,RITCHIE,1,39.2,-81.1
caldwell,NJ,ESSEX,25,40.9,-74.3
caldwell,TX,BURLESON,142,30.6,-96.5
caldwell,WV,GREENBRIER,9,37.8,-80.4
calera,OK,BRYAN,14,33.9,-96.4
calhoun,GA,GORDON,41,34.4,-85.0
