City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season
Fort Lauderdale,FL,BROWARD,2021-02-01,26.1,-80.3,2021,2,1,34,Winter
Rockport,TX,ARANSAS,2021-02-01,28.0,-97.1,2021,2,1,4,Winter
Orlando,FL,BREVARD,2021-02-01,28.5,-81.4,2021,2,1,9,Winter
Orlando,FL,ORANGE,2021-02-01,28.5,-81.4,2021,2,1,69,Winter
Fort Lauderdale,FL,BROWARD,2021-02-01,26.1,-80.4,2021,2,1,204,Winter
Houston,TX,HARRIS,2021-02-02,29.8,-95.4,2021,2,2,43,Winter
Houston,TX,FORT BEND,2021-02-02,29.8,-95.4,2021,2,2,1,Winter
Kingwood,TX,HARRIS,2021-02-02,30.1,-95.2,2021,2,2,2,Winter
League City,TX,GALVESTON,2021-02-02,29.5,-95.0,2021,2,2,2,Winter
Boca Raton,FL,PALM BEACH,2021-02-02,26.4,-80.2,2021,2,2,10,Winter
Houston,TX,HARRIS,2021-02-03,29.6,-95.1,2021,2,3,43,Winter
Houston,TX,FORT BEND,2021-02-03,29.6,-95.1,2021,2,3,1,Winter
Humble,TX,HARRIS,2021-02-03,30.0,-95.4,2021,2,3,36,Winter
Crawfordville,FL,WAKULLA,2021-02-04,30.1,-84.2,2021,2,4,12,Winter
Humble,TX,HARRIS,2021-02-04,30.0,-95.4,2021,2,4,12,Winter
Chandler,AZ,MARICOPA,2021-02-04,33.2,-111.9,2021,2,4,4,Winter
Bradenton,FL,MANATEE,2021-02-05,27.5,-82.4,2021,2,5,16,Winter
Brownsville,TX,CAMERON,2021-02-05,25.9,-97.5,2021,2,5,24,Winter
Rockport,TX,ARANSAS,2021-02-05,28.1,-97.0,2021,2,5,4,Winter
Boynton Beach,FL,PALM BEACH,2021-02-05,26.5,-80.1,2021,2,5,12,Winter
Pompano Beach,FL,BROWARD,2021-02-05,26.3,-80.2,2021,2,5,26,Winter
Boynton Beach,FL,PALM BEACH,2021-02-05,26.5,-80.2,2021,2,5,12,Winter
Tempe,AZ,MARICOPA,2021-02-06,33.4,-111.9,2021,2,6,80,Winter
Palm Beach Gardens,FL,PALM BEACH,2021-02-06,26.9,-80.1,2021,2,6,42,Winter
West Palm Beach,FL,PALM BEACH,2021-02-06,26.7,-80.1,2021,2,6,24,Winter
Port O Connor,TX,CALHOUN,2021-02-06,28.5,-96.4,2021,2,6,2,Winter
San Diego,CA,SAN DIEGO,2021-02-07,33.0,-117.1,2021,2,7,20,Winter
Fort Lauderdale,FL,BROWARD,2021-02-07,26.1,-80.4,2021,2,7,170,Winter
Chandler,AZ,MARICOPA,2021-02-07,33.3,-111.9,2021,2,7,2,Winter
Fort Lauderdale,FL,BROWARD,2021-02-07,26.1,-80.2,2021,2,7,68,Winter
Ocean Springs,MS,JACKSON,2021-02-07,30.4,-88.8,2021,2,7,10,Winter
Mill Valley,CA,MARIN,2021-02-07,37.9,-122.5,2021,2,7,4,Winter
Hollywood,FL,BROWARD,2021-02-08,26.0,-80.2,2021,2,8,40,Winter
Albany,GA,DOUGHERTY,2021-02-08,31.5,-84.4,2021,2,8,12,Winter
Houston,TX,HARRIS,2021-02-09,29.7,-95.4,2021,2,9,43,Winter
Dade City,FL,PASCO,2021-02-09,28.4,-82.2,2021,2,9,6,Winter
Edinburg,TX,HIDALGO,2021-02-09,26.3,-98.2,2021,2,9,24,Winter
Fulton,TX,ARANSAS,2021-02-09,28.1,-97.0,2021,2,9,2,Winter
Humble,TX,HARRIS,2021-02-09,30.0,-95.4,2021,2,9,24,Winter
Houston,TX,FORT BEND,2021-02-09,29.7,-95.4,2021,2,9,1,Winter
West Palm Beach,FL,PALM BEACH,2021-02-09,26.7,-80.1,2021,2,9,24,Winter
Gulf Shores,AL,BALDWIN,2021-02-09,30.3,-87.7,2021,2,9,1,Winter
North Fort Myers,FL,LEE,2021-02-09,26.7,-81.9,2021,2,9,16,Winter
Orlando,FL,BREVARD,2021-02-09,28.5,-81.2,2021,2,9,3,Winter
Baton Rouge,LA,EAST BATON ROUGE,2021-02-09,30.4,-91.0,2021,2,9,17,Winter
Orlando,FL,ORANGE,2021-02-09,28.5,-81.2,2021,2,9,23,Winter
Corpus Christi,TX,NUECES,2021-02-10,27.8,-97.4,2021,2,10,5,Winter
West Palm Beach,FL,PALM BEACH,2021-02-10,26.7,-80.1,2021,2,10,24,Winter
Edinburg,TX,HIDALGO,2021-02-10,26.3,-98.2,2021,2,10,6,Winter
Largo,FL,PINELLAS,2021-02-10,27.9,-82.8,2021,2,10,4,Winter
Thousand Oaks,CA,VENTURA,2021-02-11,34.2,-118.9,2021,2,11,3,Winter
West Palm Beach,FL,PALM BEACH,2021-02-11,26.6,-80.1,2021,2,11,24,Winter
Pembroke Pines,FL,BROWARD,2021-02-11,26.0,-80.3,2021,2,11,5,Winter
Boynton Beach,FL,PALM BEACH,2021-02-11,26.5,-80.1,2021,2,11,18,Winter
Summerfield,FL,MARION,2021-02-12,29.0,-82.0,2021,2,12,1,Winter
Orlando,FL,BREVARD,2021-02-13,28.5,-81.4,2021,2,13,15,Winter
Orlando,FL,ORANGE,2021-02-13,28.5,-81.4,2021,2,13,115,Winter
Tampa,FL,HILLSBOROUGH,2021-02-13,28.0,-82.5,2021,2,13,28,Winter
West Palm Beach,FL,PALM BEACH,2021-02-13,26.6,-80.1,2021,2,13,24,Winter
Vero Beach,FL,INDIAN RIVER,2021-02-14,27.8,-80.4,2021,2,14,5,Winter
West Palm Beach,FL,PALM BEACH,2021-02-14,26.6,-80.1,2021,2,14,24,Winter
Coral Springs,FL,BROWARD,2021-02-14,26.3,-80.3,2021,2,14,2,Winter
Palm Beach Gardens,FL,PALM BEACH,2021-02-14,26.9,-80.1,2021,2,14,7,Winter
Hollywood,FL,BROWARD,2021-02-15,26.0,-80.2,2021,2,15,110,Winter
Garden Grove,CA,ORANGE,2021-02-15,33.8,-118.0,2021,2,15,1,Winter
Ocala,FL,MARION,2021-02-15,29.2,-82.1,2021,2,15,2,Winter
La Mirada,CA,LOS ANGELES,2021-02-16,33.9,-118.0,2021,2,16,4,Winter
Boca Raton,FL,PALM BEACH,2021-02-16,26.4,-80.2,2021,2,16,25,Winter
Dunnellon,FL,MARION,2021-02-16,29.1,-82.4,2021,2,16,1,Winter
Dunnellon,FL,CITRUS,2021-02-16,29.1,-82.4,2021,2,16,3,Winter
Tempe,AZ,MARICOPA,2021-02-16,33.4,-111.9,2021,2,16,36,Winter
West Palm Beach,FL,PALM BEACH,2021-02-16,26.7,-80.1,2021,2,16,48,Winter
Dundalk,MD,BALTIMORE,2021-02-17,39.3,-76.5,2021,2,17,3,Winter
Crawfordville,FL,WAKULLA,2021-02-17,30.1,-84.2,2021,2,17,12,Winter
Naples,FL,COLLIER,2021-02-17,26.1,-81.8,2021,2,17,4,Winter
Lecanto,FL,CITRUS,2021-02-17,28.9,-82.5,2021,2,17,1,Winter
Naples,FL,COLLIER,2021-02-18,26.1,-81.8,2021,2,18,8,Winter
Delray Beach,FL,PALM BEACH,2021-02-18,26.5,-80.1,2021,2,18,32,Winter
Coral Springs,FL,BROWARD,2021-02-19,26.3,-80.3,2021,2,19,4,Winter
Merritt Island,FL,BREVARD,2021-02-19,28.3,-80.7,2021,2,19,2,Winter
Boynton Beach,FL,PALM BEACH,2021-02-19,26.5,-80.1,2021,2,19,18,Winter
Boynton Beach,FL,PALM BEACH,2021-02-19,26.5,-80.2,2021,2,19,6,Winter
Lady Lake,FL,LAKE,2021-02-20,28.9,-81.9,2021,2,20,2,Winter
Santa Cruz,CA,SANTA CRUZ,2021-02-20,37.0,-122.0,2021,2,20,12,Winter
Fort Myers,FL,LEE,2021-02-20,26.5,-81.8,2021,2,20,8,Winter
Corona,CA,RIVERSIDE,2021-02-21,33.9,-117.6,2021,2,21,2,Winter
Albany,GA,DOUGHERTY,2021-02-21,31.5,-84.4,2021,2,21,8,Winter
Hobe Sound,FL,MARTIN,2021-02-21,27.1,-80.1,2021,2,21,2,Winter
Gilbert,AZ,MARICOPA,2021-02-21,33.4,-111.8,2021,2,21,2,Winter
